country,alcohol_type,alcohol_name,company,alcohol_degree,type,description,location,website,year,file
"Bulgaria","Rakia","Peshterska","PESHTERA WINERY","40","NA","NA","Peshtera","http://www.peshtera.com/en/sitemap/","NA","Peshtera.png"
"Burkina Faso","Beer","Castel Beer (Burkina Faso)","Brakina (BGI)","5,2","Pale Lager","NA","Ouagadougou","NA","NA","Castel.jpg"
"Burkina Faso","Beer","Flag Spéciale","Brakina (BGI)","5,2","Pale Lager","NA","Ouagadougou","NA","NA","Flag.JPG"
"Burundi","Beer","Primus Biere","Brarudi","5","Pale Lager","NA","Bujumbura","http://www.brarudi.net/","NA","Primus.jpg"
"Zambia","Beer","Chibuku Shake Shake","National Breweries PLC","6","Traditional Ale","NA","Lusaka","NA","NA","Chibuku.jpg"
"Zambia","Beer","Mosi Lager","Zambian Breweries ","4","Pale Lager","NA","Luanda","NA","NA","Mosi.png"
"Zambia","Liquor","Afri Koko","Duncan, Gilbey & Matheson","22","NA","NA","Lusaka","http://dgm.co.zm/","NA","AfriKoko.png"
"Zimbabwe","Beer","Bohlingers","Delta Breweries","5","Pale Lager","NA","Harare","http://www.delta.co.zw/","NA","Bohlingers.jpg"
"Zimbabwe","Beer","Eagle Lager","Delta Breweries","6,5","Specialty Grain","NA","Harare","http://www.delta.co.zw/","NA","Eagle.jpg"
"Cambodia","Beer","Phnom Penh Stout","Phnom Penh Brewery","7","Stout","NA","Chamkar Svay","NA","NA","Phnom.jpg"
"Cambodia","Beer","Himawari Apsara Gold","Himawari","5","Blond Ale","NA","Phnom Penh","http://www.himawarihotel.com/himawari-microbrewery.html","NA","Apsara.jpg"
"Cambodia","Beer","Black Panther Stout","Cambrew","8","Stout","NA","Sihanoukville","http://www.angkorbeer.com.kh/","NA","BlackPanther.jpg"
"Cambodia","Liquor","Golden Muscle Wine","National Breweries PLC","35","NA","NA","Siem Reap","NA","NA","GoldenMuscle.JPG"
"Cameroon","Beer","Beaufort 8.9","Les Brasseries du Cameroun","6,9","Pale Lager","NA","Douala","NA","NA","Beaufort.jpg"
"Cameroon","Beer","Satzenbrau","Guinness Cameroon","5,1","Pale Lager","NA","Douala","NA","NA","Satzen.jpg"
"Cameroon","Beer","Mützig","Les Brasseries du Cameroun","5,4","Pale Lager","NA","Dhaka","NA","NA","Mutzig.jpg"
"Canada","Cider","Neige Recolte D’Hiver","La Face Cachée de la Pomme","8","NA","NA","Hemmingford","http://www.lafacecachee.com/index_en.html","NA","Neige.jpg"
"Canada","Beer","Péché Mortel","Dieu du Ciel","9,5","Imperial Stout","NA","Montreal","http://www.dieuduciel.com/","NA","Pechemortel.jpg"
"Canada","Beer","Dominus Vobiscum Lupulus","Microbrasserie Charlevoix / Le Saint Pub","10","Strong Ale","NA","Baie-St-Paul","http://www.microbrasserie.com/","NA","Dominus.jpg"
"Canada","Cider","Signature Réserve Speciale","Domaine Pinnacle","12,2","NA","NA","Frelighsburg","http://www.icecider.com/","NA","Signature.jpg"
"Canada","Whisky","Heart of Gold","Forty Creek","43","NA","NA","Grimsby","http://www.fortycreekwhisky.com/","NA","FortyCreek.jpg"
"Canada","Whisky","Alberta Premium Dark Horse","LCBO","45","NA","NA","Alberta","http://www.lcbo.com/lcbo/produit/alberta-premium-dark-horse-whisky/298083#.VJWWXl4AA","NA","DarkHorse.jpg"
"Canada","Whisky","Private Reserve","Last Moutain","40","NA","NA","Lumsden","http://www.lastmountaindistillery.com/","NA","LastMoutain.jpg"
"Cape Verde","Beer","Strela Preta","Strela","5,4","Dunkel","NA","Praia","http://www.strela.com/eng/intro","NA","Strela.jpg"
"Cape Verde","Beer","Strela","Strela","5,6","Pale Lager","NA","Praia","http://www.strela.com/eng/intro","NA","Strella.jpg"
"Cayman Islands","Beer","345 Stout","The Cayman Islands Brewery Ltd.","7,5","Stout","NA","George Town","http://www.cib.ky/","NA","345.jpg"
"Cayman Islands","Beer","Ironshore Bock","The Cayman Islands Brewery Ltd.","7","Dunkler Bock","NA","George Town","http://www.cib.ky/","NA","Ironshore.jpg"
"Central African Republic","Beer","33 Export ","Brasserie Motte Cordonnier Afrique","5","Pale Lager","NA","Bangui","NA","NA","33.jpg"
"Central African Republic","Beer","Mocaf Export","Brasserie Motte Cordonnier Afrique","NA","Pale Lager","NA","Bangui","NA","NA","Mocaf.jpg"
"Chad","Beer","Chari","Brasseries du Tchad","3,8","Pale Lager","NA","N'Djamena","NA","NA","Chari.jpg"
"Chad","Beer","Gala","Brasseries du Tchad","4,9","Pale Lager","NA","N'Djamena","NA","NA","Gala.jpg"
"Chile","Beer","Szot Strong Ale 12%","Szot Microbrewery","12","Barley Wine","NA","Santiago","http://www.szot.cl/","NA","Szot.jpg"
"Chile","Beer","Kross 5","Kross Microbrew Beers","7,2","Belgian Strong Ale","NA","Curacavi","http://www.kross.cl/index.html","NA","Kross5.png"
"Chile","Beer","Quimera Imperial Stout","Casa Cervecera Quinta Normal","8,2","Imperial Stout","NA","Santiago","http://www.cervezaquimera.cl/","NA","Quimera.png"
"Chile","Pisco","Kappa","Marnier Lapostolle Family","42,5","NA","NA","Elqui Valley","http://kappapisco.com/","NA","Kappa.jpg"
"Chile","Pisco","Capel 35","Capel","40","NA","NA","Elqui Valley","http://www.piscocapel.cl/","NA","Capel.jpg"
"China","Beer","King Louie Imperial Stout","Boxing Cat Brewery","8","Imperial Stout","NA","Shanghai","http://www.boxingcatbrewery.com/","NA","Boxincat.png"
"China","Beer","Hop God 120 Imperial IPA","Great Leap Brewing","7,8","Imperial IPA","NA","Beijing","http://www.greatleapbrewing.com/","NA","GreatLeap.png"
"China","Moutai","Kweichow","Kweichow Moutai Company","53","NA","NA","Renhuai","NA","NA","Moutai.jpg"
"Colombia","Beer","Mestiza","3 Cordilleras","4,8","Pale Ale","NA","Medellin","http://www.3cordilleras.com/","NA","3cordilleras.jpg"
"Colombia","Beer","Septimazo IPA","Bogotá Beer Company","6","Indian Pale Ale","NA","Bogota","http://www.bogotabeercompany.com/","NA","Septimazo.jpg"
"Colombia","Beer","Apóstol Bock","Inducerv","6","Dunkler Bock","NA","Medellin","http://inducerv.com/","NA","Apostol.png"
"Colombia","Aguardiente","Aguardiente","Antioqueño","29","NA","NA","Bogota","NA","NA","Aguardiente.jpg"
"Democratic Republic of the Congo","Beer","Tembo Bière","Brasseries Simba","5,9","Amber Lager","NA","Lubumbashi","NA","NA","Tembo.jpg"
"Democratic Republic of the Congo","Beer","Doppel Munich","Bracongo (Unibra)","6,5","Dunkel","NA","Kinshasa","http://www.bracongo.cd/","NA","Doppel.jpg"
"Democratic Republic of the Congo","Beer","Turbo King Bière Brune","Bralima","6,5","Dunkel","NA","Kinshasa","NA","NA","TurboKing.gif"
"Congo","Beer","Ngok","Brasserie du Congo","5","Pale Lager","NA","Brazzaville","http://www.brasseriesducongo.com/","NA","Ngok.jpg"
"Costa Rica","Beer","Segua Red Ale","Costa Rica’s Craft Brewing Co.","5","Irish Ale","NA","Cartago","http://www.beer.cr/","NA","Segua.jpg"
"Costa Rica","Beer","Witch’s Rock Pale Ale","Tamarindo Brewing Company","NA","Pale Ale","NA","Tamarindo","NA","NA","Witchs.jpg"
"Costa Rica","Beer","Tumba Calzones","Treintaycinco","5","Saison","NA","Escazu","NA","NA","Tumba.jpg"
"Costa Rica","Guaro","Cacique Guaro"," Fábrica Nacional de Licores","30","NA","NA","Santa Eulalia","www.fanal.co.cr","1850","Cacique.jpg"
"Ivory Coast","Beer","Mamba","Solibra","4,3","Lager","NA","Abidjan","http://www.solibra.ci/","NA","Mamba.jpg"
"Ivory Coast","Beer","Castel Beer (Ivory Coast)","Solibra","5,7","Pale Lager","NA","Abidjan","http://www.solibra.ci/","NA","CastelBeer.jpg"
"Ivory Coast","Beer","Number One (Ivory Coast)","Les Brasseries Ivoiriennes","NA","Pale Lager","NA","Abidjan","NA","NA","NumberOne.jpg"
"Croatia","Beer","Zmajska Pivovara Porter","Zmajska Pivovara","6,5","Porter","NA","Zagreb","http://www.zmajskapivovara.hr/","NA","Zmaj.jpg"
"Croatia","Beer","Pivnica Medvedgrad Fakin IPA","Pivovara i pivnica Medvedgrad","7","Indian Pale Ale","NA","Zagreb","http://www.pivnica-medvedgrad.hr/","NA","Fakin.jpg"
"Croatia","Beer","Tomislav Tamno Pivo","Zagrebacka Pivovara (MolsonCoors)","7,3","Baltic Porter","NA","Zagreb","NA","NA","Tomislav.jpg"
"Croatia","Rakia","Travarica","Travarica","40","NA","NA","South Croatia","NA","NA","Travarica.jpg"
"Croatia","Rakia","Medica","Badel","40","NA","NA","Istria","NA","NA","Medica.gif"
"Cuba","Beer","Pielsen","Taberna de la Muralla","NA","Pilsner","NA","Havana","NA","NA","NA"
"Cuba","Beer","Cerveja Bruja Clásica","Cerveceria Antonio Diaz Santana","4,5","Pale Lager","NA","Manacas","NA","NA","Bruja.jpg"
"Cuba","Beer","Bucanero Fuerte","Cerveceria Bucanero","5,4","Pale Lager","NA","Holguin","http://www.cerveceriabucanero.com/","NA","Cubanero.JPG"
"Cuba","Rum","Ron Edmundo Dantes","Ron Edmundo Dantes","40","15 years","NA","Santiago de Cuba","NA","NA","Edmundo.jpg"
"Cyprus","Beer","Prime White","Prime Microbrewery","4,5","Belgian White","NA","Sotira","http://primemicrobrewery.com/","NA","Prime.jpg"
"Cyprus","Beer","Aphrodite’s Rock London Porter","Aphrodite’s Rock Brewing Company","4,5","Porter","NA","Paphos","http://www.aphroditesrock.com.cy/default.aspx","NA","Aphrodite.jpg"
"Cyprus","Beer","KEO","KEO","4,5","Pale Lager","NA","Lemesos","http://www.keogroup.com/","NA","Keo.jpg"
"Cyprus","Zivania","Zivania","KEO","45","NA","NA","Lemesos","http://www.keogroup.com/","NA","Zivania.jpg"
"Czech Republic","Beer","Pilsner Urquell Nefiltrovaný","Plzensky Prazdroj","4,4","Pilsner","NA","Plzen","http://www.prazdroj.cz/","NA","Urquell.jpg"
"Czech Republic","Beer","Zlatá Raketa (Golden Rocket) 17°","Pivovar Matuška","7","Indian Pale Ale","NA","Broumy","http://www.pivovarmatuska.cz/","NA","Matuska.png"
"Czech Republic","Beer","Únetické Pivo 10° Nefiltrované","Unetickypivovar","3,8","Pilsner","NA","Unetice","http://www.unetickypivovar.cz/","NA","Uneticke.jpg"
"Czech Republic","Becherovka","Becherovka","Pernod Ricard","38","NA","NA","Karlovy Vary","http://www.becherovka.com/","NA","Becherovka.jpg"
"Czech Republic","Slivovitz","Slivovica","Zufanek","50","NA","NA","Brno","http://www.zufanek.cz/cs/","NA","Slivovica.jpg"
"Denmark","Beer","Mikkeller Beer Geek Brunch Weasel","Lervig Aktiebryggeri","10,9","Imperial Stout","NA","Copenhagen","http://www.lervig.no/","NA","Mikkeler.jpg"
"Denmark","Beer","To Øl Black Malts & Body Salts Black Coffee IIPA","De Proefbrouwerij","9,9","Black IPA","NA","Copenhagen","http://www.proefbrouwerij.com/","NA","Proef.png"
"Denmark","Beer","Amager Hr. Frederiksen","Amager Bryghus","10,5","Imperial Stout","NA","Kastrup","http://www.amagerbryghus.dk/","NA","Amager.jpg"
"Denmark","Akvavit","Akvavit","Aalborg Taffel","45","NA","NA","Aalborg","http://www.aalborgakvavit.dk/doorkeeper.aspx","NA","Aalborg.jpg"
"Dominica","Beer","Kubuli Shandy Ginger","Dominica Brewery","2","Fruit Beer","NA","Roseau","http://www.kubuli.dm/","NA","Shandy.jpg"
"Dominica","Beer","Kubuli","Dominica Brewery","5","Pale Lager","NA","Roseau","http://www.kubuli.dm/","NA","kubuli.jpg"
"Dominican Republic","Beer","Ambar Cerveza Oscura","Cervecería Nacionál Dominicana","5,3","Amber Lager","NA","Santo Domingo","http://www.cnd.com.do/","NA","Ambar.jpg"
"Dominican Republic","Beer","Bohemia Especial","Cervecería Nacionál Dominicana","5","Pale Lager","NA","Santo Domingo","http://www.cnd.com.do/","NA","Bohemia.jpg"
"Dominican Republic","Beer","Presidente","Cervecería Nacionál Dominicana","5","Pale Lager","NA","Santo Domingo","http://www.cnd.com.do/","NA","Presidente.jpg"
"Dominican Republic","Rum","Carta Dorada","Brugal & Co.","38","NA","NA","Puerto Plata","http://www.brugal.es/filtro/","NA","Brugak.jpg"
"East Timor","Beer","Tamai Pty Buffalo Premium Bitter","Tamai Pty Ltd","6","Premium Bitter","NA","Dili","NA","NA","Buffalo.JPG"
"Ecuador","Beer","Bandido Hop-Rey IPA","Bandido Brewing","6,2","Indian Pale Ale","NA","Quito","http://bandidobrewing.com/","NA","Bandido.jpg"
"Ecuador","Beer","Doggerlander Russian Imperial Stout","Doggerlander Brewing Company","12","Imperial Stout","NA","Sangolqui","http://www.doggerlander.com/","NA","Doggerlander.jpg"
"Ecuador","Beer","Bandido Cuckoo Chocolate Stout","Bandido Brewing","6,2","Stout","NA","Quito","http://bandidobrewing.com/","NA","NA"
"Ecuador","Beer","Sinners Total Death","Sinners Brewery","6,3","Amber Ale","NA","Quito","NA","NA","Sinners.jpg"
"Ecuador","Liquor","Espíritu del Ecuador","Espiritu Del Ecuador S.A.","30","NA","NA","Quito","http://www.oocities.org/napavalley/1155/espiritu.html","NA","Espiritu.jpg"
"Egypt","Beer","Sakara Weizen","Al Ahram","4","German Hefeweizen","NA","Giza","http://www.alahrambeverages.com/Index.aspx","NA","Sakara.JPG"
"Egypt","Beer","Oro Eight Stars","Egyptian International Beverages Co.","8","Malt Liquor","NA","El Gouna","NA","NA","NA"
"Egypt","Beer","Castelo Hard (Blue Label)","Al Masria Al Alamia Company","8","Strong Ale","NA","Cairo","NA","NA","Castelo.JPG"
"El Salvador","Beer","Negra","Cadejo Brewing Company","4,8","Stout","NA","San Salvador","http://www.cervezacadejo.com/","NA","Negra.jpg"
"El Salvador","Beer","Mercurio IPA","Brew Revolution","6,2","Indian Pale Ale","NA","El Tunco","http://www.brewrevolution.com/","NA","Mercurio.jpg"
"El Salvador","Beer","Suprema Roja","Cerveceria La Constancia","NA","Amber Lager","NA","San Salvador","http://www.laconstancia.com/","NA","Suprema.jpg"
"Equatorial Guinea","Beer","Asonga Lager Beer","Soeguibe","4,6","Pale Lager","NA","Bata","NA","NA","Asonga.jpg"
"Equatorial Guinea","Beer","Castel Beer (Equatorial Guinea)","Soeguibe","NA","Pale Lager","NA","Bata","NA","NA","CastelGuinea.png"
"Eritrea","Beer","Asmara Lager Beer","Asmara Brewery","5","Pale Lager","NA","Asmara","http://www.asmarabirra.com/","NA","Asmara.jpg"
"Eritrea","Beer","Golden Star","Golden Star Brewery","4,5","Pilsner","NA","Asmara","NA","NA","GoldenStar.jpg"
"Estonia","Beer","Lervig Odensholm Barrel Aged","Põhjala","9","Strong Porter","NA","Talllinn","http://pohjalabeer.com/","NA","Oden.jpg"
"Estonia","Beer","Õllenaut Lumelausuja","Õllenaut","7,9","Stout","NA","Saue","http://www.ollenaut.ee/","NA","Ollenaut.jpg"
"Estonia","Beer","Saku Porter","Saku Õlletehas","6,9","Baltic Porter","NA","Saku","http://www.saku.ee/","NA","Saku.jpg"
"Estonia","Liquor","Vana Tallinn","Liviko","45","NA","Rum-Based Liquor","Talllinn","http://www.liviko.ee/","1898","Vana.png"
"Ethiopia","Beer","Garden Bräu Ebony","Beer Garden Inn","4,5","Dunkel","NA","Addis Ababa","NA","NA","Garden.jpg"
"Ethiopia","Beer","Hakim Stout","Harar Brewery","5,5","Stout","NA","Harar","http://www.hararbeer.com/","NA","Hakim.jpg"
"Ethiopia","Beer","Bedele Beer","Bedele Brewery","4,25","Pale Lager","NA","Addis Ababa","NA","NA","Bedele.jpg"
"Ethiopia","Tej","Pure Honey Tej","Agew Medir","8","NA","NA","Addis Ababa","NA","NA","Tej.jpg"
"Falkland Islands","Beer","Falkland Beerworks Maiden Bitter","Falkland Beerworks","3,6","Bitter","NA","Stanley","NA","NA","Falkland.jpg"
"Faroe Islands","Beer","Okkara Portari/Porter","Okkara","7,9","Strong Porter","NA","Velbastaður","https://www.facebook.com/okkarafo?v=wall","NA","Okkara.jpg"
"Faroe Islands","Beer","Föroya Bjór Sct. Brigid Abbey Ale","Föroya Bjór","5,8","Abbey Dubbel","NA","Klakksvik","http://www.bjor.fo/DK/","NA","Bjor.jpg"
"Fiji","Beer","Vonu Pure Lager","Island Brewing Company","4,6","Premium Lager","NA","Nadi","http://www.islandbrewing.com.fj/","NA","Vonu.jpg"
"Fiji","Beer","Fiji Draught","Fiji Brewery/Foster’s Group Pacific","4,6","Pale Lager","NA","Suva","NA","NA","Fiji.jpg"
"Finland","Beer","Plevnan Siperia Imperial Stout","Koskipanimo","8","Imperial Stout","NA","Tampere","http://www.plevna.fi/","NA","Siperia.JPG"
"Finland","Beer","Koff Porter","Sinebrychoff ","7,2","Baltic Porter","NA","Kerava","http://www.koff.fi/","NA","Sinebry.gif"
"Finland","Beer","Laitilan Kievari Imperiaali","Laitilan Wirvoitusjuomatehdas","9,2","Imperial Stout","NA","Laitila","http://laitilan.com/","NA","Imperiaal.jpg"
"Finland","Liquor","Koskenkorva Viina","Altia","38","NA","NA","Koskenkorva","http://www.altiacorporation.com/eng/Brands/","NA","Kosken.jpg"
"Finland","Vodka","Finlandia","Altia","40","NA","NA","Koskenkorva","http://www.altiacorporation.com/eng/Brands/","NA","Finlandia.jpg"
