country,alcohol_type,alcohol_name,company,alcohol_degree,type,description,location,website,year,file
"Guadeloupe","Rum","Agricultural white Rum","Damoiseau","50","NA","NA","Le Moule","http://damoiseau.fr/en/","1942","Damoiseau.jpg"
"Guatemala","Rum","Zacapa 23","Ron Zacapa Centenario","40","NA","Age between 5 and 15 years","Zacapa","http://industriaslicorerasdeguatemala.com/","1977","Zacapa.jpg"
"Haiti","Rum","Barbancourt Reserve Speciale 8 ans","Société du Rhum Barbancourt, T. Gardère & Cie.","43","NA","NA","Port-au-Prince","http://www.barbancourt.net/","1862","barbancourt-reserve-speciale-8-ans_094.jpeg"
"Hungary","Liquor","Unicum","Zwack","40","NA","NA","Budapest","http://www.zwack.hu/en/eletkor-ellenorzes/","1840","Unicum.jpg"
"Hungary","Brandy","Apricot Palinka","Nagygombos","40","NA","NA","Nagygombos","NA","NA","Nagyg.jpg"
"Iceland","Schnapps","Brennivín","Egill Skallagrímsson Brewery","37,5","NA","NA"," Reykjavík","http://www.olgerdin.is/","1913","Brennivin.jpg"
"India","Rum","Old Monk","Mohan Meakin Brewery","42,8","Dark Brown","NA","Ghaziabad","http://www.mohanmeakin.com/home.php","1855","OldMonk.jpg"
"India","Fenny","Cashew Fenny","Big Boss","43","NA","NA","Goa","NA","NA","BigBoss.jpg"
"Indonesia","Arrack","Batavia-Arrack van Oosten","Dutch East Indies Trading, Ltd.","50","NA","It is the 'rum' of Indonesia, because like rum, it is distilled from sugarcane","Jakarta","NA","NA","Batavia.jpg"
"Iraq","Arak","Asriyah Arak","Asriyah","53","NA","NA","Bagdad","NA","NA","Asriyah.jpg"
"Ireland","Whisky","Finest Irish Whiskey","Kilbeggan Distillery","40","NA","NA","Kilbeggan","http://www.kilbeggandistillery.com/","1757","Kilbeggan.jpg"
"Ireland","Poitin","Premium Poitin","Glendalough","40","NA","NA","Glendalough","http://www.glendaloughdistillery.com/","2011","Poitin.jpg"
"Israel","Arak","Arak","El Namroud","40","NA","NA","Moshav Goren","NA","NA","ElNamroud.jpg"
"Italy","Grappa","Picolit Cru THE LEGENDARY GRAPPA","Nonino","50","NA","NA","Friuli","http://www.grappanonino.it/it/","1897","Nonino.png"
"Italy","Limoncello","Limoncello","Danne DeVito","30","NA","NA","Sorrento","NA","NA","DannyDeVito.png"
"Jamaica","Rum","Reserve","Appleton Estate","40","NA","NA","St Elizabeth Parish","http://www.appletonestate.com/","1749","AppletonEstate.jpg"
"Japan","Shochu","Yamaneko Shochu ","Kuroki Honten","25","NA","NA","Miyazaki","NA","NA","Kuroki.jpeg"
"Japan","Sake","Pride of Akita Region, Dry","Akita Homare","15","NA","NA","Akita","NA","NA","AkitaHomare.jpg"
"Japan","Whisky","From the Barrel","Nikka Whisky","51,4","NA","NA","Miyagikyo","http://www.nikka.com/","1934","Nikka.jpg"
"Jordan","Arak","Arak Haddad Gold Label","Eagle Distilleries co.","50","NA","NA","Zarka","http://eagledis.com/","1953","Haddad.jpg"
"South Korea","Soju","Chamisul","HITE-Jinro","18,5","NA","NA","Seoul","http://www.hitejinro.com/main.asp","1924","Chamisul.png"
"South Korea","Soju","Chum Churum","Lotte","19","NA","NA","Seoul","http://www.lotteliquor.com/company/","1926","ChumChurum.jpg"
"South Korea","Rice Wine","Cheongju","Chung Ha","6","NA","NA","Seoul","http://www.lotteliquor.com/chungha/main.asp","1926","ChungHa.jpg"
"Latvia","Liquor","Riga Black Balsam","JSC Latvijas Balzams","45","NA","NA","Riga","http://www.balzams.lv/en/","1997","Balsam.JPG"
"Lebanon","Arak","El Massaya","Massaya","53","NA","NA","Tanaïl","http://www.massaya.com/arak.aspx","NA","Massaya.jpg"
"Lithuania","Liquor","Trakai Midus","UAB Lietuviškas midus","15","NA","NA","Stakliškes","http://www.midus.lt/","1969","Midus.jpg"
"Venezuela","Rum","Santa Teresa Araku Ron y Coffee"," Ron Santa Teresa CA","40","NA","NA","Caracas","http://www.ronsantateresa.com/","NA","Araku.jpg"
"Vietnam","Liquor","Rượu đế","NA","40","NA","Produced by many unregistred household distilleries","Hanoï","NA","NA","Rou.jpg"
"Virgin Islands, U.S.","Rum","Cruzan Estate Dark","Cruzan Rum","75,5","NA","NA","Saint Croix","http://www.cruzanrum.com/","1760","Cruzan.jpg"
"Uganda","Liquor","Waragi","Uganda Breweries Ltd.","40","NA","NA","Kampala","https://www.eabl.com/","1946","Waragi.jpg"
"Ukraine","Liquor","Horilka Honey Pepper","Nemiroff","40","NA","NA","Nemyriv","http://www.nemiroff.ua/","1997","Nemiroff.jpg"
"United Kingdom","Gin","Hendrick's Gin","William Grant & Sons","41,4","NA","NA","Girvan","http://www.hendricksgin.com/","1999","Hendricks.png"
"United Kingdom","Whisky","Glenmorangie 18 YO Single Malt Scotch Whisky","Glenmorangie distillery","43","NA","NA","Ross-shire","https://glenmorangie.com/en","1843","Glenmorangie.jpg"
"United Kingdom","Whisky","Madeira Single Malt","Penderyn","46","NA","NA","Penderyn","http://www.welsh-whisky.co.uk/","2004","Penderyn.png"
"United Kingdom","Whisky","Bushmills Original","Old Bushmills Distillery","40","NA","NA","Bushmills","http://www.bushmills.com/","1608","Bushmills.jpg"
"United States","Whisky","Tennessee Whiskey","Collier and McKeel","40","NA","NA","Nashville","http://www.collierandmckeel.com/","2009","Collier.jpg"
"United States","Whisky","Moonshine Troy & Sons Platinum","Asheville Distilling Company","40","NA","NA","Asheville","http://www.ashevilledistilling.com/troy-sons-platinum/","NA","Troy.png"
"United States","Whisky","Jim Beam Rye Whiskey","Jim Beam","40","NA","NA","Clermont","http://www.jimbeam.com/","1795","JimBean.jpg"
"Macedonia","Liquor","Strumicka mastika","Grozd","43","NA","NA","Strumica","http://www.grozd.mk/eng/index.html","1953","Mastika.jpg"
"Madagascar","Rum","Dzame XV 15 ans","Compagnie Vidzar","40","NA","NA","Tananarive","http://dzama-international.com/verify.fr.php","1985","Dzama.jpg"
"Malawi","Gin","Malawi Gin","Malawi Distilleries Ltd","40","NA","NA","Blantyre","NA","NA","Malawi.png"
"Malta","Liquor","Harruba","Zeppi's","21","NA","NA","Mosta","NA","NA","Harruba.jpg"
"Martinique","Rum","Rhum Agricole élevé sous bois","Rhum J.M.","50","NA","NA","Macouba","http://www.rhum-jm.com/","1845","JM.png"
"Mauritius","Rum","Pink Pigeon Original","Pink Pigeon","40","NA","Vanilla Spiced","Port Louis","http://www.pinkpigeonrum.com/","NA","PinkPingeon.jpg"
"Mexico","Tequila","Tres Cuatro Y Cinco","Fonseca family","40","NA","Only 1000 bottles produced each year","Jalisco","NA","NA","Tres.jpg"
"Mexico","Pulque","Agave Wine Pulque Hacienda 1881","Agave Wine Pulque Hacienda 1881","5","NA","NA","Jalisco","NA","NA","Pulque.jpg"
"Mexico","Mezcal","Pierde Almas Espadín","Mezcal Pierde Almas","52","NA","NA","Oaxaca","http://pierdealmas.com/","NA","Pierde.jpg"
"Moldova","Sparkling Wine","Cricova Brut","Cricova (winery)","13,5","NA","NA","Cricova","http://www.cricova.md/","1902","Cricova.jpg"
"Mongolia","Vodka","Chinggis","UFC Group ","39","NA","NA","Ulaanbaatar","http://www.ufc.mn/","2009","Chinggis.jpg"
"Montenegro","Rakia","Sojak","Sojak","50","NA","NA","Podgorica","NA","NA","Sojak.jpg"
"Mozambique","Rum","Estrela de Oriente Tipo Tinto Rhum","Fabrica de Licores deMoçambique","46","NA","NA","Nampula","NA","NA","TipoTinto.jpeg"
"Netherlands","Jenever","Bokma Citroen Jenever","Bokma","30","NA","NA","Leeuwarden","NA","1894","Bokma.png"
"Nicaragua","Rum","Flor de Caña Limón","Compañía Licorera de Nicaragua","40","NA","NA","Chichigalpa","http://www.flordecana.com/","1890","FlorDeCana.jpg"
"Norway","Akvavit","Gilde Non Plus Ultra Aquavit","Arcus SA Oslo","41","NA","NA","Oslo","http://www.arcusbeverage.com/eng/Home/?rnr=70","NA","Gilde.jpg"
"Norway","Akvavit","Løitens Sommer Aquavit","Arcus AS","38","NA","NA","Oslo","http://www.loitenaquavit.no/index.html","NA","Loitens.jpg"
"Palestine","Arak","Ramallah Golden Arak","Ramallah Distilleries","50","NA","NA","Ramallah","NA","NA","Ramallah.jpg"
"Panama","Liquor","Seco Herrerano","Varela Hermanos.","35","NA","NA","Panama","http://www.varelahermanos.com/","1908","Seco.jpg"
"Paraguay","Rum","Papagayo Spiced Rum","Altitude Spirits Inc.","40","NA","NA","Arroyo y Esteros","http://papagayorums.com/","NA","Papagayo.jpg"
"Peru","Pisco","Demonio de los Andes Acholado ","Tacama","44","NA","NA","Ica","http://www.tacama.com/","1540","Tacama.png"
"Peru","Pisco","Pisco Porton","Pisco Porton","43","NA","NA","Ica","http://www.piscoporton.com/","1684","Porton.jpeg"
"Philippines","Arak","Lambanog","Mallari Distillery","42","NA","NA","Tayabas","NA","NA","Lambanog.jpg"
"Philippines","Basi","Basi del Diablo","Salucop Group, Inc","15","NA","NA","Batac","http://basideldiablo.com/","1906","Basi.jpg"
"Taiwan","Kaoliang","Sorghum Liquor","jinmén gaoliáng jiu","58","NA","NA","Kinmen","NA","NA","Kaoliang.jpg"
"Tanzania","Liquor","Konyagi","Tanzania Distilleries Limited","35","NA","NA","Dar es Salaam","http://konyagi.co.tz/","1975","Konyagi.png"
"Thailand","Whisky","Mekhong Whisky","Thai Beverage Public Company","35","NA","NA","Bangkok","http://www.interbevgroup.com/","1941","Mekhong.jpg"
"Thailand","Rum","SangSom","SangSom Company","40","NA","NA","Bangkok","http://www.thaibev.com/en08/home.aspx","1977","SangSom.jpg"
"Trinidad and Tobago","Rum","Zaya Gran Reserva Rum","Infinium Spirits","40","Dark","NA","Port of Spain","http://www.infiniumspirits.com/brands/zaya_rum/zaya_rum.html","NA","Zaya.jpg"
"Tunisia","Liquor","Thibarine","Office des Terres Domaniales","40","NA","NA","Thibar","http://www.otd.nat.tn/","NA","Thibarine.jpg"
"Tunisia","Liquor","Boukha L'Oasis","Grande Distillerie de la Soukra","36","NA","NA","Ariana","NA","NA","Boukha.jpg"
"Turkey","Raki","Tekirdag Rakisi","Tekirdag Rakisi","45","NA","NA","Tekirdag","http://tekirdagrakisi.com/","NA","Raki.jpg"
"Turkmenistan","Vodka","Arassa","Arassa","40","NA","NA","Ashgabat","NA","NA","Arassa.jpg"
"Poland","Mead","Dwojniak Maliniak","Pasieka Maciej Jaros","16","NA","NA","Tomaszów Mazowiecki","http://www.pasiekajaros.pl/","NA","Maliniak.jpg"
"Poland","Vodka","Zubrówka","Polmos Bialystok","40","NA","NA","Bialystok","http://www.polmos.bialystok.pl/","16th century","Zubrowka.jpg"
"Poland","Liquor","Goldwasser","Danziger","35","NA","NA","Danzig","http://www.gdansk-life.com/poland/goldwasser#add4e","1598","Goldwasser.jpg"
"Poland","Vodka","Starka","Polmos Szczecin","50","NA","NA","Szczecin","http://www.polmos.szczecin.pl/","15th century","Starka.jpg"
"Poland","Vodka","Chopin","Polmos Siedlce","40","NA","NA","Siedlce","http://www.polmos-siedlce.com.pl/","1896","Chopin.jpg"
"Portugal","Port Wine","White","Niepoot","20","NA","NA","Vila Nova de Gaia","http://www.niepoort-vinhos.com/en/ports/","1842","Niepoort.jpg"
"Portugal","Liquor","Ginjinha","Alcobaça","20","NA","NA","Alcobaça","http://www.ginja.pt/en/","1920","Ginja.jpg"
"Puerto Rico","Rum","PitoRico Elite","Destilería Cruz Ron Artesanal Puertorriqueño","40","NA","NA","Jayuya","NA","NA","PitoRico.jpg"
"Puerto Rico","Rum","Ron Piza","Ron Piza","38","NA","NA","Arecibo","NA","1884","Piza.png"
"Reunion","Rum","Lontan","Distillerie Savanna","40","White","NA","Saint-André","http://www.distilleriesavanna.com/","1948","Savanna.jpg"
"Romania","Liquor","Țuica","Valco","32","NA","NA","Maramures","http://www.distileriilevalco.ro/","1989","Valco.jpg"
"Romania","Liquor","Palinca de Maramures","Valco","40","NA","NA","Maramures","http://www.distileriilevalco.ro/","1989","Palinca.jpg"
"Russia","Vodka","Stolichnaya","Moscow Distillery Cristall","40","NA","NA","Moscow","http://www.kristall.ru/catalog/item.php?id_item=116","1901","Stolich.jpg"
"Russia","Vodka","Russian Standard","Russian Standard","40","NA","NA","Moscow","http://www.russianstandardvodka.com/","1998","RussianStandard.jpg"
"Saint Kitts and Nevis","Rum","Golden Coconut Rum","Belmont Estate","40","NA","NA","Charlestown","http://demeraradistillers.com/index.php","NA","Belmont.jpg"
"Saint Kitts and Nevis","Rum","Cane Spirit Rothschild","Demerara Distillers Limited","40","White","NA","Charlestown","http://demeraradistillers.com/index.php","NA","CSR.jpg"
"Saint Lucia","Rum","Chairman's Reserve","St Lucia Distillers","40","NA","NA","Roseau Valley","http://www.saintluciarums.com/","1972","Chairman.jpg"
"Serbia","Brandy","Vinjak","Rubin","40","NA","NA","Kruševac","http://www.rubin.rs/","1957","Vinjak.png"
"Serbia","Rakia","Jelicki Dukat","JELICKI DUKAT","40","NA","NA","Cacak","http://jelickidukat.rs/en/","18th century","Jelicka.jpg"
"Seychelles","Liquor","Coco d'Amour","Sodepak Industries Ltd","15","NA","NA","Mahé","NA","NA","Coco.jpg"
"Seychelles","Rum","Dark Rum Takamaka Bay","Trois Freres Distillery","40","Dark","NA","La Plaine St. Andre","http://www.takamakabay.com/","NA","Takamaka.jpg"
"Slovakia","Liquor","Spišská borovicka ","Frucona","40","NA","NA","Nad Jazerom","http://www.frucona.sk/","NA","Spisska.jpg"
"Slovakia","Liquor","Tatratea Original","Karloff","52","NA","NA","Cifer","http://www.tatratea.com/en/agecheck","2003","Tatratea.JPG"
"Slovenia","Liquor","Brinjevec","Brin","40","NA","NA","Vrhnika","http://ginbrin.com/brin/","NA","Brin.png"
"Slovenia","Liquor","Kraski Brinjevec","Krasevka","40","NA","NA","Lljubljana","http://www.krasevka.si/","NA","Kraski.jpg"
"South Africa","Liquor","Amarula Cream","Distell Group Limited","17","NA","NA","Stellenbosch","https://amarula.com/","1989","Amarula.jpg"
"South Africa","Brandy","Klipdrift Premium","Klipdrift","40","NA","NA","Robertson","http://www.klipdrift.co.za/","1938","Klipdrift.png"
"Spain","Sherry","Amontillado del Puerto","Lustau Almacenista","16,5","NA","NA","El Puerto de Santa María","http://www.lustau.es/en/","1896","Lustau.jpg"
"Spain","Cider","Zelaia Sidra Natura","Sidrería Zelaia","6","NA","NA","Hernani","http://www.zelaia.es/es","NA","Zelaia.jpg"
"Spain","Liquor","Zoco Patxaran","Pernod Ricard","25","NA","NA","Viana","http://www.pacharanzoco.com/","1956","Zoco.jpg"
"Spain","Cava","Castillo Perelada, Brut Rosado","Penedès NV","11,5","NA","NA","Perelada","http://www.perelada.com/en/","NA","Perelada.jpg"
"Sri Lanka","Arrack","Mendis Old Arrack","Mendis","34,2","NA","NA","Colombo","NA","NA","Mendis.jpg"
"Sri Lanka","Arrack","Old Arrack","Rockland Distilleries","34","NA","NA","Colombo","http://www.rockland.lk/","1924","Rockland.jpg"
"Sweden","Brännvin","Svenskt brännvin","Svenskt brännvin","38","NA","NA","Stockholm","NA","1467","Brannvin.jpg"
"Sweden","Vodka","Explorer Vodka","V&S Group","40","NA","NA","Stockholm","http://www.vsgroup.com/","1917","Explorer.jpg"
"Switzerland","Absinthe","La Clandestine Absinthe","Artemisia-Bugnon","53","NA","NA","Couvet","http://www.absinthe-suisse.com/","2005","Clandestine.jpg"
"Switzerland","Liquor","Bon Pere William","NV Jean-Rene Germanier Balavaud","40","NA","NA","Sion","NA","NA","William.jpg"
"Syria","Arak","Arak Rayan","Al Rayan","53","NA","NA","As-Suwayda","NA","NA","Rayan.jpg"
"Syria","Arak","Arak Al Hayat","Issa al-Khouri Factories","51,5","NA","NA","Homs","NA","NA","AlHayat.jpg"
"Armenia","Raki","Ararat Nairi 20 years","Yerevan Brandy Company","40","NA","NA","Yerevan","NA","NA","Ararat.jpg"
"Cayman Islands","Rum","Seven Fathoms Premium Rum","Caymans Spirits Co.","40","NA","NA","George Town","http://caymanspirits.com/","NA","Seven.jpg"
