country,alcohol_type,alcohol_name,company,alcohol_degree,type,description,location,website,year,file
"United Kingdom","Beer","Arbor / Moor Double Dark Alliance","Arbor","9,2","Imperial Stout","NA","Bristol","http://www.arborales.co.uk/","NA","Arbor.jpg"
"United States","Beer","Toppling Goliath Kentucky Brunch","Toppling Goliath","12","Imperial Stout","NA","Decorah","http://www.tgbrews.com/site/","NA","Kentucky.jpg"
"United States","Beer","Cigar City Hunahpu’s Imperial Stout - Double Barrel Aged","Cigar City Brewing","11","Imperial Stout","NA","Tampa","http://cigarcitybrewing.com/","NA","Cigar.jpg"
"United States","Beer","Russian River Pliny the Younger","Russian River Brewing","11","Double IPA","NA","Santa Rosa","http://russianriverbrewing.com/","NA","Pliny.jpg"
"United States","Beer","AleSmith Speedway Stout - Bourbon Barrel Aged","AleSmith Brewing Company","12","Imperial Stout","NA","San Diego","http://alesmith.com/","NA","Speedway.jpg"
"United States","Beer","Three Floyds Dark Lord Russian Imperial Stout (Bourbon Vanilla Bean)","Three Floyds Brewing Company","14","Imperial Stout","NA","Munster","http://www.3floyds.com/over-21/?redirect_to=http://www.3floyds.com/","NA","Floyds.jpg"
"Uruguay","Beer","Davok Session Coffee IPA","Cervecería Del Sur","3,5","Indian Pale Ale","NA","Montevideo","http://www.davok.com.uy/principal.html","NA","Davok.jpg"
"Uruguay","Beer","FNC Patricia Dunkel","FNC S.A.","5,4","Dunkel","NA","Montevideo","http://www.fnc.com.uy/","NA","Patricia.jpg"
"Uzbekistan","Beer","Gold Pulsar 12º","Samarqand 1-son Pivo Zavodi","4,5","Pale Lager","NA","Samarqand","NA","NA","Pulsar.jpg"
"Uzbekistan","Beer","Osterbrau Pilsner Special","Osterbrau","5","Dunkel","NA","Qibray tumani","http://gulikbeer.com.ua/geofizika/osterbrau.html","NA","Oster.jpg"
"Vanuatu","Beer","Vanuatu Tusker Lager","Vanuatu Brewing Limited","5","Pale Lager","NA","Port Vila","NA","NA","Tusker.jpg"
"Vanuatu","Beer","Seven Seas Happy Dog Porter","Seven Seas Brewery & Saloon Bar","5","Porter","NA","Port Vila","NA","NA","Happy.jpg"
"Venezuela","Beer","Destilo","Cervecería Destilo C.A.","5","Amber Ale","NA","Caracas","NA","NA","Destilo.jpg"
"Venezuela","Beer","Cerveza Tovar","Cerveceria Tovar","5,3","Pilsener","NA","Colonia Tovar","NA","NA","Tovar.jpg"
"Venezuela","Beer","Solera","Empresas Polar","6","Premium Lager","NA","Caracas","NA","NA","Solera.jpg"
"Vietnam","Beer","Louisiane Dark Lager","Louisiane Brewhouse","5","Dunkel","NA","Nha Trang","http://www.louisianebrewhouse.com.vn/","NA","Louisiane.jpg"
"Vietnam","Beer","Hoa Viên Lager (Premium Pils)","Hoa Vien Brauhaus","4,4","Pilsener","NA","Ho Chi Minh City","http://www.hoavien.vn/webapp/home.php","NA","NA"
"Virgin Islands, U.S.","Beer","St. John Brewers Virgin Islands Island Hoppin IPA","St. John Brewers - The Tap Room","6,2","Indian Pale Ale","NA","St. John","http://www.stjohnbrewers.com/","NA","Virgin.jpg"
"Virgin Islands, U.S.","Beer","Virgin Islands Foxys Lager","Virgin Islands Brewing Co.","NA","Pale Lager","NA","St. Croix","http://www.blackbeardale.com/","NA","Foxys.jpg"
